strategy,event_id,event_date,lab,wrapper,direction,stake_pct,market_cap_billion,expected_return_announce,actual_return_announce,holding_period_return,benchmark_return,abnormal_return,notes
event_drift_long,A_2023Q2_C_001,2023-05-23,anthropic,GOOGL,long,14.0,1500.0,2.9493333333333297e-05,-0.019912098752248197,-0.000489565292381644,0.030090136385898303,-0.030579701678279947,
event_drift_long,A_2023Q2_C_001,2023-05-23,anthropic,AMZN,long,7.8,1100.0,2.24072727272727e-05,-0.00017393506729301844,0.05426563709094645,0.030090136385898303,0.024175500705048147,
event_drift_long,A_2023Q2_C_001,2023-05-23,anthropic,NVDA,long,2.6,1100.0,7.4690909090909e-06,-0.01565311127531399,0.2212875549296054,0.030090136385898303,0.1911974185437071,
event_drift_long,A_2025Q1_E_001,2025-03-03,anthropic,GOOGL,long,14.0,2050.0,0.00018882926829268294,-0.01920370827993767,-0.01515337870422262,-0.028470064947786367,0.013316686243563747,
event_drift_long,A_2025Q1_E_001,2025-03-03,anthropic,AMZN,long,7.8,1900.0,0.00011351052631578948,-0.034200087377916355,-0.0452638697976232,-0.028470064947786367,-0.016793804849836835,
event_drift_long,A_2025Q1_E_001,2025-03-03,anthropic,NVDA,long,2.6,3700.0,1.9429729729729734e-05,-0.08693565937899761,0.048053636039725234,-0.028470064947786367,0.0765237009875116,
event_drift_long,A_2025Q3_F_001,2025-09-02,anthropic,GOOGL,long,14.0,2050.0,0.0007013658536585367,-0.007327023461185744,0.18942339739224945,0.030815081630832797,0.15860831576141665,
event_drift_long,A_2025Q3_F_001,2025-09-02,anthropic,AMZN,long,7.8,1900.0,0.00042161052631578945,-0.015982548742835667,0.03865273300531524,0.030815081630832797,0.007837651374482446,
event_drift_long,A_2025Q3_F_001,2025-09-02,anthropic,NVDA,long,2.6,3700.0,7.216756756756757e-05,-0.019520005102879878,0.024065317543339626,0.030815081630832797,-0.006749764087493171,
event_drift_long,A_2026Q1_G_001,2026-02-12,anthropic,GOOGL,long,14.0,2200.0,0.0015081818181818185,-0.006303051873291943,0.00893213202481169,0.006928159368597253,0.0020039726562144367,
event_drift_long,A_2026Q1_G_001,2026-02-12,anthropic,AMZN,long,7.8,2050.0,0.0009017560975609757,-0.021952154485218922,0.052104176244818445,0.006928159368597253,0.04517601687622119,
event_drift_long,A_2026Q1_G_001,2026-02-12,anthropic,NVDA,long,2.6,4000.0,0.00015405000000000003,-0.016364120017250072,-0.05215573688127395,0.006928159368597253,-0.059083896249871204,
cross_wrapper_pairs,A_2023Q2_C_001,2023-05-23,anthropic,GOOGL,long,14.0,1500.0,2.9493333333333297e-05,-0.019912098752248197,-0.000489565292381644,0.0,-0.000489565292381644,pair_pnl=-0.0548
cross_wrapper_pairs,A_2023Q2_C_001,2023-05-23,anthropic,AMZN,short,7.8,1100.0,2.24072727272727e-05,-0.00017393506729301844,0.05426563709094645,0.0,-0.05426563709094645,pair_pnl=-0.0548
cross_wrapper_pairs,A_2025Q1_E_001,2025-03-03,anthropic,AMZN,long,7.8,1900.0,0.00011351052631578948,-0.034200087377916355,-0.0452638697976232,0.0,-0.0452638697976232,pair_pnl=-0.0301
cross_wrapper_pairs,A_2025Q1_E_001,2025-03-03,anthropic,GOOGL,short,14.0,2050.0,0.00018882926829268294,-0.01920370827993767,-0.01515337870422262,0.0,0.01515337870422262,pair_pnl=-0.0301
cross_wrapper_pairs,A_2025Q3_F_001,2025-09-02,anthropic,AMZN,long,7.8,1900.0,0.00042161052631578945,-0.015982548742835667,0.03865273300531524,0.0,0.03865273300531524,pair_pnl=-0.1508
cross_wrapper_pairs,A_2025Q3_F_001,2025-09-02,anthropic,GOOGL,short,14.0,2050.0,0.0007013658536585367,-0.007327023461185744,0.18942339739224945,0.0,-0.18942339739224945,pair_pnl=-0.1508
cross_wrapper_pairs,A_2026Q1_G_001,2026-02-12,anthropic,AMZN,long,7.8,2050.0,0.0009017560975609757,-0.021952154485218922,0.052104176244818445,0.0,0.052104176244818445,pair_pnl=0.0432
cross_wrapper_pairs,A_2026Q1_G_001,2026-02-12,anthropic,GOOGL,short,14.0,2200.0,0.0015081818181818185,-0.006303051873291943,0.00893213202481169,0.0,-0.00893213202481169,pair_pnl=0.0432
